Country,Happiness Score_2015,GDP per Capita_2015,Family_2015,Healthy Life Expectancy_2015,Freedom_2015,Perception of Government Corruption_2015,Generosity_2015,Happiness Score_2016,GDP per Capita_2016,Family_2016,Healthy Life Expectancy_2016,Freedom_2016,Perception of Government Corruption_2016,Generosity_2016,Happiness Score_2017,GDP per Capita_2017,Family_2017,Healthy Life Expectancy_2017,Freedom_2017,Perception of Government Corruption_2017,Generosity_2017,Happiness Score_2018,GDP per Capita_2018,Family_2018,Healthy Life Expectancy_2018,Freedom_2018,Perception of Government Corruption_2018,Generosity_2018,Happiness Score_2019,GDP per Capita_2019,Family_2019,Healthy Life Expectancy_2019,Freedom_2019,Perception of Government Corruption_2019,Generosity_2019,Happiness Score_2020,GDP per Capita_2020,Family_2020,Healthy Life Expectancy_2020,Freedom_2020,Perception of Government Corruption_2020,Generosity_2020,Total Change
Venezuela,6.81,1.04424,1.25596,0.7205199999999999,0.42908,0.11069000000000001,0.058410000000000004,6.084,1.1336700000000002,1.03302,0.6190399999999999,0.19847,0.08304,0.0425,5.25,1.12843120098114,1.43133759498596,0.617144227027893,0.15399712324142498,0.0644911229610443,0.0650196298956871,4.806,0.996,1.469,0.657,0.133,0.052000000000000005,0.055999999999999994,4.707,0.96,1.4269999999999998,0.805,0.154,0.047,0.064,5.053199768,0.7702386379999999,1.3485468630000002,0.76702553,0.271717221,0.06362477700000001,0.08717915400000001,-1.7568002319999998
Zambia,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,4.795,0.61202,0.6376,0.23573000000000002,0.42662,0.11479,0.17865999999999999,4.513999938964839,0.6364067792892459,1.00318729877472,0.25783589482307395,0.461603492498398,0.0782135501503944,0.249580144882202,4.377,0.562,1.047,0.295,0.503,0.08199999999999999,0.221,4.107,0.578,1.058,0.426,0.431,0.087,0.247,3.759399891,0.536833763,0.8960372809999999,0.36359334,0.49131754,0.086705238,0.250620902,-1.3696001089999994
Zimbabwe,4.61,0.271,1.0327600000000001,0.33475,0.25861,0.08079,0.18987,4.1930000000000005,0.35041,0.71478,0.1595,0.25429,0.08582000000000001,0.18503,3.875,0.3758465349674221,1.08309590816498,0.19676375389099104,0.336384207010269,0.0953753814101219,0.189143493771553,3.6919999999999997,0.35700000000000004,1.094,0.248,0.406,0.099,0.132,3.6630000000000003,0.366,1.114,0.433,0.361,0.08900000000000001,0.151,3.2992000580000003,0.425564021,1.0478352309999999,0.375037611,0.37740472,0.080928579,0.151349187,-1.310799942
Afghanistan,3.575,0.31982,0.30285,0.30335,0.23414000000000001,0.09719,0.3651,3.36,0.38227,0.11037000000000001,0.17344,0.1643,0.07112,0.31268,3.7939999103546103,0.401477217674255,0.581543326377869,0.18074677884578694,0.106179520487785,0.0611578300595284,0.311870932579041,3.6319999999999997,0.332,0.537,0.255,0.085,0.036000000000000004,0.191,3.2030000000000003,0.35,0.517,0.361,0.0,0.025,0.158,2.566900015,0.30070585,0.356433839,0.266051531,0.0,0.001225785,0.135234714,-1.0080999850000003
India,4.565,0.64499,0.38174,0.5152899999999999,0.39786,0.08492000000000001,0.26475,4.404,0.74036,0.29247,0.45091000000000003,0.40285,0.08722,0.25028,4.31500005722046,0.7922212481498722,0.754372596740723,0.455427616834641,0.469987004995346,0.0922268852591515,0.23153848946094505,4.19,0.721,0.747,0.485,0.539,0.09300000000000001,0.172,4.015,0.755,0.765,0.588,0.498,0.085,0.2,3.573299885,0.730576158,0.644198656,0.54057014,0.5811422470000001,0.105587982,0.237072483,-0.9917001150000004
Republic of Congo,3.989,0.67866,0.6629,0.31051,0.41466000000000003,0.11685999999999999,0.12387999999999999,4.2360000000000015,0.7710899999999999,0.47798999999999997,0.28212,0.37938,0.09752999999999999,0.12077,4.29099988937378,0.8089642524719242,0.8320443630218509,0.28995743393898,0.4350258708000179,0.0796181336045265,0.12085212767124195,4.559,0.682,0.8109999999999999,0.34299999999999997,0.514,0.077,0.091,4.812,0.6729999999999999,0.799,0.508,0.3720000000000001,0.09300000000000001,0.105,5.1943998339999995,0.633616745,0.7576360109999999,0.45810112399999997,0.386514395,0.118670784,0.11721601300000001,1.2053998339999996
Guinea,3.656,0.17417,0.46475,0.24009,0.37725,0.12139000000000001,0.28657,3.6069999999999998,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,3.50699996948242,0.24454993009567305,0.7912446856498722,0.194129139184952,0.348587512969971,0.110937617719173,0.264815092086792,3.964,0.344,0.792,0.21100000000000002,0.39399999999999996,0.094,0.185,4.534,0.38,0.8290000000000001,0.375,0.332,0.086,0.207,4.949299812,0.390007734,0.75136596,0.333655238,0.37187805799999996,0.11220455900000001,0.249490842,1.2932998119999994
Togo,2.839,0.20868,0.13995,0.28443,0.36453,0.10730999999999999,0.16680999999999999,3.303,0.28123000000000004,0.0,0.24811,0.34678000000000003,0.11587,0.17517,3.4949998855590803,0.3054447174072269,0.4318825304508211,0.247105568647385,0.38042613863945,0.0956650152802467,0.19689615070819896,3.9989999999999997,0.259,0.474,0.253,0.434,0.10099999999999999,0.158,4.085,0.275,0.5720000000000001,0.41,0.293,0.085,0.177,4.187200069,0.268116266,0.547622859,0.34273117799999997,0.303539038,0.114826456,0.200774252,1.3482000690000002
Ivory Coast,3.655,0.46534,0.77115,0.15185,0.46866,0.17922000000000002,0.20165,3.9160000000000004,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,4.17999982833862,0.6030489206314089,0.904780030250549,0.0486421696841717,0.4477061927318571,0.130061775445938,0.201237469911575,4.671,0.541,0.872,0.08,0.467,0.10300000000000001,0.146,4.944,0.569,0.8079999999999999,0.23199999999999998,0.35200000000000004,0.09,0.154,5.233300208999999,0.537094414,0.7997272609999999,0.154942513,0.39712253200000003,0.09349579400000001,0.16991558699999998,1.5783002089999996
Benin,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,3.484,0.39499,0.10419,0.21028000000000002,0.39747,0.06681000000000001,0.2018,3.65700006484985,0.43108540773391707,0.43529984354972795,0.20993021130561804,0.42596277594566295,0.0609290152788162,0.207948461174965,4.141,0.37799999999999995,0.3720000000000001,0.24,0.44,0.067,0.163,4.883,0.39299999999999996,0.4370000000000001,0.397,0.349,0.08199999999999999,0.175,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.125931874,0.196670428,1.8760000799999998
